Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GRM033R60J104KE19J","CAPC0603X33N",-68.861660,-41.950400,0.000000,top
"C2","GRM033R60J104KE19J","CAPC0603X33N",-68.831660,-33.380400,180.000000,top
"C3","GRM033R60J105MEA2D","CAPC0603X33N",-68.831660,-32.670400,0.000000,top
"IC1","PCA9698BS,118","QFN50P800X800X100-57N-D",-41.747440,6.517640,180.000000,top
"IC2","NTS0304EPWJ","SOP65P640X110-14N",-66.481660,-37.618400,90.000000,top
"J1","504740-5100","5047405100",-60.977520,-37.166880,90.000000,top
"R1","ERA-6ARW472V","ERA6A__0805_",-65.497460,-43.454320,180.000000,top
"R2","ERA-6ARW472V","ERA6A__0805_",-66.371720,-45.077380,180.000000,top
"R3","ERA-2ARC112X","ERA2A__0402_",-60.868560,4.211320,90.000000,top
"R4","ERA-2ARC112X","ERA2A__0402_",-59.552280,4.211220,90.000000,top
"R5","ERA-2AED202X","ERA2A__0402_",-62.021720,4.210740,90.000000,top
"R6","ERA-6ARW472V","ERA6A__0805_",-65.947040,-32.664400,180.000000,top
"R7","ERA-6ARW472V","ERA6A__0805_",-65.461900,-31.107380,180.000000,top
