Id;Designator;Behuizing;Hoeveelheid;Orientatie;Leverancier en ref
1;J4;DM3NWSFPEJ800;1;DM3NW-SF-PEJ_800_;
2;NRF1;XCVR_NRF9160-SICA-R;1;NRF9160-SICA-B1A-R;
3;SIMESDPROTECT1;CM140203CP;1;CM1402-03CP;
4;R1;RESC0603X26N;1;CR0201AFW-1001GLF;
5;J7;5047405100;1;504740-5100;
6;J6;1042240820;1;104224-0820;
8;J3,J2;IPEX_20579-001E;2;20579-001E;
9;J1;2121340002;1;212134-0002;
10;IC8,IC7,IC6,IC5;BGA20C50P4X5_189X239X50;4;TXB0108YZPR;
11;IC4;BGA4C35P2X2_64X64X33;1;TCR5RG33A,LF;
12;IC3,IC1;SON50P300X400X80-13N-D;2;LT1763IDE-5#PBF;
13;IC2;TCR5RG18ALF;1;TCR5RG18A,LF;
14;FL1;BEADC1005X55N;1;MMZ1005S121HTD25;
15;C10,C9,C7,C5,C4,C1,1uF1;CAPC0603X33N;7;GRM033C80J105ME05D;
16;C3,C2,47uF2,47uF1;CAPC2012X95N;4;GRM219R60J476ME44D;
17;4.7uF2,4.7uF1;CAPC0603X55N;2;GRM035R60J475ME15D;
18;15pF2,15pF1;CAPC0603X33N;2; 885.392.004.002,00 ;
19;10KOhm1;RESC0603X26N;1;ERA-1AEB103C;
20;100nF19,100nF15,100nF14,100nF13,100nF12,100nF11,100nF10,100nF9,100nF8,100nF7,100nF6,100nF5,100nF4,100nF3,100nF2,100nF1;CAPC0603X33N;16;GRM033R60J104KE19J;
21;U1;Texas_DSBGA-12_1.36x1.86mm_Layout3x4_P0.5mm;1;TXB0104YZT;
